Params	Time Savings	BD-BR Inc	RDCCOst
BipredSearchRange=0_FME=0_HadamardME=0_MaxPartitionDepth=1_SearchRange=0_refs=1	0.9064	2.1213	2.3404
AMP=0_BipredSearchRange=0_FME=2_HadamardME=0_MaxPartitionDepth=3_QuadtreeTUMaxDepthInter=1_SearchRange=0_TestRect=3_refs=2	0.7775	1.3520	1.7389
AMP=0_BipredSearchRange=0_FME=0_HadamardME=0_MaxPartitionDepth=3_SearchRange=0_TestRect=3_refs=2	0.7121	1.2766	1.7927
AMP=0_BipredSearchRange=0_FME=0_HadamardME=0_MaxPartitionDepth=3_QuadtreeTUMaxDepthInter=1_SearchRange=0_TestRect=3_refs=2	0.8372	1.3537	1.6168
AMP=0_BipredSearchRange=0_FME=0_HadamardME=0_MaxPartitionDepth=2_SearchRange=0_TestRect=3_refs=2	0.8268	1.6127	1.9506
AMP=0_BipredSearchRange=0_FME=0_HadamardME=0_MaxPartitionDepth=2_QuadtreeTUMaxDepthInter=1_SearchRange=0_TestRect=3_refs=2	0.8883	1.7742	1.9973
AMP=0_BipredSearchRange=0_FME=2_MaxPartitionDepth=3_SearchRange=0_refs=1	0.6476	1.2788	1.9746
AMP=0_BipredSearchRange=0_FME=0_MaxPartitionDepth=3_SearchRange=0_refs=1	0.6955	1.2796	1.8398
AMP=0_BipredSearchRange=0_FME=2_HadamardME=0_MaxPartitionDepth=2_SearchRange=0_refs=1	0.7951	1.6155	2.0318
AMP=0_BipredSearchRange=0_FME=2_HadamardME=0_MaxPartitionDepth=2_SearchRange=0_TestRect=3_refs=1	0.8103	1.6155	1.9937
BipredSearchRange=0_FME=0_HadamardME=0_MaxPartitionDepth=3_SearchRange=0_refs=2	0.6495	1.2760	1.9646
AMP=0_BipredSearchRange=0_FME=0_HadamardME=0_MaxPartitionDepth=3_SearchRange=0_refs=2	0.6897	1.2752	1.8491
BipredSearchRange=0_FME=0_HadamardME=0_MaxPartitionDepth=3_SearchRange=0_TestRect=3_refs=2	0.6703	1.2770	1.9049
BipredSearchRange=0_FME=0_HadamardME=0_MaxPartitionDepth=3_QuadtreeTUMaxDepthInter=1_SearchRange=0_TestRect=3_refs=2	0.8208	1.3508	1.6457
BipredSearchRange=0_FME=0_HadamardME=0_MaxPartitionDepth=3_QuadtreeTUMaxDepthInter=1_SearchRange=0_TestRect=3_refs=1	0.8256	1.3540	1.6399
BipredSearchRange=0_FME=2_HadamardME=0_MaxPartitionDepth=3_SearchRange=0	0.4931	1.2735	2.5826
AMP=0_BipredSearchRange=0_FME=2_HadamardME=0_MaxPartitionDepth=1_SearchRange=0_TestRect=3_refs=1	0.9026	2.1237	2.3529
AMP=0_BipredSearchRange=0_FME=2_HadamardME=0_MaxPartitionDepth=1_SearchRange=0_refs=1	0.8957	2.1229	2.3703
