Params	Time Savings	BD-BR Inc	RDCCOst
BipredSearchRange=0_MaxPartitionDepth=1_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=2	0.8637	1.3040	1.5098
BipredSearchRange=0_MaxPartitionDepth=1_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=2	0.8632	1.3040	1.5107
BipredSearchRange=0_MaxPartitionDepth=1_QuadtreeTUMaxDepthInter=2_TestRect=2	0.8566	1.3031	1.5212
BipredSearchRange=0_SearchRange=8_TestRect=3	0.2096	0.0130	0.0622
AMP=0_BipredSearchRange=2_SearchRange=8_TestRect=3	0.3007	0.0229	0.0761
BipredSearchRange=2_SearchRange=8_TestRect=3_refs=3	0.2924	0.0228	0.0780
BipredSearchRange=2_SearchRange=8_TestRect=3_refs=2	0.3978	0.0338	0.0849
BipredSearchRange=2_SearchRange=8_TestRect=3_refs=1	0.5066	0.0492	0.0971
BipredSearchRange=2_SearchRange=4_TestRect=3	0.1962	0.0139	0.0709
BipredSearchRange=2_HadamardME=0_SearchRange=8_TestRect=3	0.2691	0.0234	0.0869
BipredSearchRange=2_FME=1_SearchRange=8_TestRect=3	0.3969	0.0592	0.1490
BipredSearchRange=2_MaxPartitionDepth=3_SearchRange=8_TestRect=3	0.3888	0.1196	0.3075
BipredSearchRange=2_SearchRange=0_TestRect=3	0.2186	0.0542	0.2481
BipredSearchRange=2_FME=0_SearchRange=8_TestRect=3	0.5325	0.1754	0.3294
BipredSearchRange=2_MaxPartitionDepth=2_SearchRange=8_TestRect=3	0.6459	0.3943	0.6105
BipredSearchRange=2_FME=2_SearchRange=8_TestRect=3	0.3394	0.1839	0.5418
BipredSearchRange=2_MaxPartitionDepth=1_SearchRange=8_TestRect=3	0.8184	0.9481	1.1586
BipredSearchRange=0_SearchRange=8_TestRect=2	0.3009	0.0190	0.0632
QuadtreeTUMaxDepthInter=2_SearchRange=4_TestRect=2	0.3421	0.0191	0.0559
QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=2	0.3967	0.0293	0.0737
